timestamp,model,split,imbalance_strategy,notes,precision,recall,f1,pr_auc,mcc,roc_auc,accuracy,tp,fp,fn,tn,threshold,n_test,n_test_fraud
2026-07-13T10:30:00+00:00,logistic_regression,stratified,class_weight=unweighted,phase1 baseline,0.8461538461538461,0.5789473684210527,0.6875,0.6919665484964556,0.6995146454017752,0.9560466717268892,0.9991188806259472,55,10,40,56641,0.5,56746,95
2026-07-13T10:30:00+00:00,logistic_regression,stratified,class_weight=balanced,phase1 baseline,0.05638586956521739,0.8736842105263158,0.10593490746649649,0.6719244530518994,0.21839549092723898,0.9656548079701293,0.9753110351390406,83,1389,12,55262,0.5,56746,95
2026-07-13T10:30:01+00:00,logistic_regression,chronological,class_weight=unweighted,phase1 baseline,0.9111111111111111,0.5540540540540541,0.6890756302521008,0.7305759865036748,0.7102239636727024,0.9779818815144902,0.9993479716632009,41,4,33,56668,0.5,56746,74
2026-07-13T10:30:01+00:00,logistic_regression,chronological,class_weight=balanced,phase1 baseline,0.06606606606606606,0.8918918918918919,0.12301957129543337,0.7610720265811075,0.24023010605160552,0.986251492705297,0.9834173333803263,66,933,8,55739,0.5,56746,74
2026-07-27T14:40:02+00:00,xgboost,stratified,none,phase2 tuned,0.9859154929577465,0.7368421052631579,0.8433734939759037,0.8324942183029248,0.8521277030515494,0.9765966875671819,0.9995418179254926,70,1,25,56650,0.5,56746,95
2026-07-27T14:40:07+00:00,xgboost,chronological,none,phase2 tuned,0.9622641509433962,0.6891891891891891,0.8031496062992126,0.806641999584895,0.8141673694184131,0.9903255528255529,0.9995594403129736,51,2,23,56670,0.5,56746,74
2026-07-28T23:32:09+00:00,random_forest,stratified,none,phase2 tuned,0.9333333333333333,0.7368421052631579,0.8235294117647058,0.7815107862896685,0.829042766642757,0.9633187131922231,0.9994713283755683,70,5,25,56646,0.5,56746,95
2026-07-28T23:42:26+00:00,random_forest,chronological,none,phase2 tuned,0.9629629629629629,0.7027027027027027,0.8125,0.784133121683428,0.8224171779340402,0.9852969720496896,0.9995770627004547,52,2,22,56670,0.5,56746,74
2026-08-13T11:41:59+00:00,logistic_regression,stratified,none,phase3 imbalance experiment,0.8548387096774194,0.5578947368421052,0.6751592356687898,0.6825811762838582,0.6901890731057709,0.958804276228691,0.9991012582384662,53,9,42,56642,0.5,56746,95
2026-08-13T11:42:13+00:00,logistic_regression,stratified,smote,phase3 imbalance experiment,0.8275862068965517,0.7578947368421053,0.7912087912087912,0.6991836438636565,0.7916416820323026,0.9650729443155647,0.9993303492757198,72,15,23,56636,0.5,56746,95
2026-08-13T11:42:15+00:00,logistic_regression,stratified,undersample,phase3 imbalance experiment,0.8255813953488372,0.7473684210526316,0.7845303867403315,0.6991643443385461,0.7851613908036419,0.9631210114746894,0.9993127268882388,71,15,24,56636,0.5,56746,95
2026-08-13T11:42:26+00:00,logistic_regression,stratified,class_weight,phase3 imbalance experiment,0.05627118644067797,0.8736842105263158,0.10573248407643313,0.6705407257439832,0.21816559556836068,0.9655207461381738,0.9752581679765975,83,1392,12,55259,0.5,56746,95
2026-08-13T11:48:14+00:00,random_forest,stratified,none,phase3 imbalance experiment,0.971830985915493,0.7263157894736842,0.8313253012048193,0.7866425678695813,0.8399337442856101,0.9669728503886679,0.9995065731505305,69,2,26,56649,0.5,56746,95
2026-08-13T11:55:41+00:00,random_forest,stratified,smote,phase3 imbalance experiment,0.9466666666666667,0.7473684210526316,0.8352941176470589,0.8051459370105063,0.8409075166262782,0.9740178321746538,0.9995065731505305,71,4,24,56647,0.5,56746,95
2026-08-13T11:56:02+00:00,random_forest,stratified,undersample,phase3 imbalance experiment,0.8488372093023255,0.7684210526315789,0.8066298342541437,0.7844278268043373,0.8073235538591877,0.969493733097107,0.9993832164381631,73,13,22,56638,0.5,56746,95
2026-08-13T12:01:06+00:00,random_forest,stratified,class_weight,phase3 imbalance experiment,0.8571428571428571,0.7578947368421053,0.8044692737430168,0.7904168601202788,0.805689109952914,0.9595987063915814,0.9993832164381631,72,12,23,56639,0.5,56746,95
2026-08-13T12:01:50+00:00,xgboost,stratified,none,phase3 imbalance experiment,0.9726027397260274,0.7473684210526316,0.8452380952380952,0.8330321077464237,0.8523741872370025,0.9769447094815997,0.9995418179254926,71,2,24,56649,0.5,56746,95
2026-08-13T12:02:41+00:00,xgboost,stratified,smote,phase3 imbalance experiment,0.9487179487179487,0.7789473684210526,0.8554913294797688,0.7990244727785639,0.8594450109862553,0.9681624052717981,0.9995594403129736,74,4,21,56647,0.5,56746,95
2026-08-13T12:02:54+00:00,xgboost,stratified,undersample,phase3 imbalance experiment,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.8153068908731836,0.8343620745880013,0.9710513773622242,0.9994713283755683,75,10,20,56641,0.5,56746,95
2026-08-13T12:03:39+00:00,xgboost,stratified,class_weight,phase3 imbalance experiment,0.925,0.7789473684210526,0.8457142857142858,0.829821750615477,0.8486104610779522,0.9762298988543893,0.9995241955380115,74,6,21,56645,0.5,56746,95
2026-08-13T12:03:42+00:00,logistic_regression,chronological,none,phase3 imbalance experiment,0.9473684210526315,0.4864864864864865,0.6428571428571429,0.737271372067696,0.6786181035739356,0.9820808597982511,0.9992951045007578,36,2,38,56670,0.5,56746,74
2026-08-13T12:03:50+00:00,logistic_regression,chronological,smote,phase3 imbalance experiment,0.6041666666666666,0.7837837837837838,0.6823529411764706,0.7450045233577789,0.6876843372656496,0.9840201844277932,0.999048391076023,58,38,16,56634,0.5,56746,74
2026-08-13T12:03:51+00:00,logistic_regression,chronological,undersample,phase3 imbalance experiment,0.7307692307692307,0.7702702702702703,0.75,0.7717941961527609,0.7499253692305541,0.9866951313962183,0.9993303492757198,57,21,17,56651,0.5,56746,74
2026-08-13T12:03:58+00:00,logistic_regression,chronological,class_weight,phase3 imbalance experiment,0.06606606606606606,0.8918918918918919,0.12301957129543337,0.7618366472459821,0.24023010605160552,0.9862641306255437,0.9834173333803263,66,933,8,55739,0.5,56746,74
2026-08-13T12:07:24+00:00,random_forest,chronological,none,phase3 imbalance experiment,0.98,0.6621621621621622,0.7903225806451613,0.7825817969056831,0.8053630578726799,0.986938470973797,0.9995418179254926,49,1,25,56671,0.5,56746,74
2026-08-13T12:11:42+00:00,random_forest,chronological,smote,phase3 imbalance experiment,0.8852459016393442,0.7297297297297297,0.8,0.8059786687753774,0.803506990724402,0.9873060436919133,0.9995241955380115,54,7,20,56665,0.5,56746,74
2026-08-13T12:11:59+00:00,random_forest,chronological,undersample,phase3 imbalance experiment,0.7857142857142857,0.7432432432432432,0.7638888888888888,0.7853072928615537,0.7638846739130885,0.9868155493155493,0.9994008388256441,55,15,19,56657,0.5,56746,74
2026-08-13T12:14:58+00:00,random_forest,chronological,class_weight,phase3 imbalance experiment,0.9473684210526315,0.7297297297297297,0.8244274809160306,0.818463505219129,0.8312733126011069,0.9804597484624659,0.9995946850879357,54,3,20,56669,0.5,56746,74
2026-08-13T12:15:31+00:00,xgboost,chronological,none,phase3 imbalance experiment,0.9622641509433962,0.6891891891891891,0.8031496062992126,0.7944601626951692,0.8141673694184131,0.986416620248142,0.9995594403129736,51,2,23,56670,0.5,56746,74
2026-08-13T12:16:08+00:00,xgboost,chronological,smote,phase3 imbalance experiment,0.38064516129032255,0.7972972972972973,0.5152838427947598,0.7846499624285279,0.5501196950244858,0.9803938166709906,0.9980439149896028,59,96,15,56576,0.5,56746,74
2026-08-13T12:16:18+00:00,xgboost,chronological,undersample,phase3 imbalance experiment,0.44274809160305345,0.7837837837837838,0.5658536585365853,0.8049564475814261,0.588410845307111,0.9878511434217956,0.998431607514186,58,73,16,56599,0.5,56746,74
2026-08-13T12:16:52+00:00,xgboost,chronological,class_weight,phase3 imbalance experiment,0.9166666666666666,0.7432432432432432,0.8208955223880597,0.8032639887733407,0.8252129064935189,0.9906777454331802,0.9995770627004547,55,5,19,56667,0.5,56746,74
